,Source,Target
0,83,10
1,83,78
2,83,77
3,83,6
4,83,45
5,83,69
6,83,29
7,61,25
8,61,76
9,61,57
10,61,54
11,61,28
12,61,27
13,61,48
14,61,32
15,71,59
16,71,66
17,71,16
18,71,85
19,18,50
20,18,22
21,18,21
22,18,86
23,18,24
24,18,72
25,12,13
26,50,18
27,50,22
28,50,21
29,50,86
30,50,24
31,50,72
32,30,19
33,30,74
34,14,49
35,14,26
36,14,73
37,14,79
38,14,7
39,14,4
40,14,81
41,14,52
42,14,44
43,14,53
44,75,65
45,75,16
46,75,40
47,75,85
48,58,26
49,58,47
50,58,17
51,58,38
52,58,1
53,58,20
54,34,11
55,34,42
56,34,1
57,22,18
58,22,50
59,22,21
60,22,86
61,22,24
62,22,72
63,70,60
64,10,83
65,10,63
66,10,51
67,10,37
68,10,5
69,10,78
70,10,77
71,10,6
72,10,45
73,10,69
74,10,62
75,10,1
76,10,23
77,10,29
78,10,33
79,25,61
80,25,76
81,25,57
82,25,54
83,25,28
84,25,27
85,25,48
86,25,32
87,49,14
88,49,26
89,49,73
90,49,79
91,49,7
92,49,4
93,49,81
94,49,52
95,49,44
96,49,53
97,59,71
98,59,66
99,59,16
100,59,85
101,63,10
102,63,51
103,63,37
104,63,5
105,63,62
106,63,1
107,63,23
108,63,33
109,51,10
110,51,63
111,51,37
112,51,5
113,51,62
114,51,1
115,51,23
116,51,33
117,21,18
118,21,50
119,21,22
120,21,86
121,21,24
122,21,72
123,46,68
124,46,84
125,46,79
126,46,39
127,37,10
128,37,63
129,37,51
130,37,5
131,37,62
132,37,1
133,37,23
134,37,33
135,26,14
136,26,58
137,26,49
138,26,47
139,26,73
140,26,17
141,26,38
142,26,79
143,26,7
144,26,1
145,26,4
146,26,20
147,26,81
148,26,52
149,26,44
150,26,53
151,65,75
152,65,16
153,65,40
154,65,85
155,11,34
156,11,42
157,11,1
158,2,55
159,2,9
160,5,10
161,5,63
162,5,51
163,5,37
164,5,62
165,5,1
166,5,23
167,5,33
168,68,46
169,68,84
170,68,79
171,68,39
172,78,83
173,78,10
174,78,77
175,78,6
176,78,45
177,78,69
178,78,29
179,47,58
180,47,26
181,47,17
182,47,38
183,47,1
184,47,20
185,15,8
186,15,36
187,15,41
188,31,64
189,31,3
190,19,30
191,19,74
192,64,31
193,64,3
194,8,15
195,8,36
196,8,41
197,84,46
198,84,68
199,84,79
200,84,39
201,73,14
202,73,49
203,73,26
204,73,79
205,73,7
206,73,4
207,73,81
208,73,52
209,73,44
210,73,53
211,77,83
212,77,10
213,77,78
214,77,6
215,77,45
216,77,69
217,77,29
218,66,71
219,66,59
220,66,16
221,66,85
222,35,74
223,74,30
224,74,19
225,74,35
226,36,15
227,36,8
228,36,41
229,42,34
230,42,11
231,42,1
232,76,61
233,76,25
234,76,57
235,76,54
236,76,28
237,76,27
238,76,48
239,76,32
240,67,56
241,67,80
242,67,82
243,17,58
244,17,26
245,17,47
246,17,38
247,17,1
248,17,20
249,56,67
250,56,80
251,56,82
252,55,2
253,55,9
254,16,71
255,16,75
256,16,59
257,16,65
258,16,66
259,16,40
260,16,85
261,38,58
262,38,26
263,38,47
264,38,17
265,38,1
266,38,20
267,79,14
268,79,49
269,79,46
270,79,26
271,79,68
272,79,84
273,79,73
274,79,39
275,79,7
276,79,4
277,79,81
278,79,52
279,79,44
280,79,53
281,6,83
282,6,10
283,6,78
284,6,77
285,6,45
286,6,69
287,6,29
288,45,83
289,45,10
290,45,78
291,45,77
292,45,6
293,45,69
294,45,29
295,57,61
296,57,25
297,57,76
298,57,54
299,57,28
300,57,27
301,57,48
302,57,32
303,3,31
304,3,64
305,39,46
306,39,68
307,39,84
308,39,79
309,69,83
310,69,10
311,69,78
312,69,77
313,69,6
314,69,45
315,69,29
316,80,67
317,80,56
318,80,82
319,54,61
320,54,25
321,54,76
322,54,57
323,54,28
324,54,27
325,54,48
326,54,32
327,28,61
328,28,25
329,28,76
330,28,57
331,28,54
332,28,27
333,28,48
