,Source,Target
0,239,159
1,239,169
2,350,22
3,350,85
4,350,312
5,350,206
6,350,7
7,350,281
8,350,151
9,350,61
10,350,204
11,350,225
12,350,14
13,350,49
14,350,337
15,29,87
16,29,106
17,29,177
18,29,89
19,29,192
20,29,36
21,29,101
22,132,160
23,132,184
24,132,75
25,132,46
26,132,338
27,132,346
28,132,107
29,132,82
30,132,59
31,132,130
32,132,146
33,132,316
34,132,4
35,132,235
36,132,270
37,132,205
38,132,115
39,132,127
40,132,33
41,132,334
42,132,111
43,132,267
44,132,303
45,132,71
46,132,253
47,132,262
48,132,112
49,132,252
50,132,227
51,132,11
52,132,150
53,132,133
54,132,104
55,132,5
56,132,51
57,132,212
58,132,297
59,132,164
60,132,300
61,132,245
62,132,260
63,132,357
64,132,53
65,215,304
66,215,207
67,215,333
68,215,222
69,215,208
70,215,126
71,215,2
72,215,361
73,215,90
74,215,73
75,215,108
76,215,198
77,215,352
78,215,272
79,215,18
80,215,356
81,215,355
82,215,209
83,215,303
84,215,12
85,215,109
86,215,41
87,215,81
88,215,329
89,215,211
90,215,345
91,215,114
92,215,254
93,215,287
94,215,40
95,215,19
96,215,95
97,215,57
98,215,15
99,215,163
100,215,99
101,215,175
102,215,279
103,215,213
104,215,34
105,215,240
106,215,282
107,215,363
108,215,64
109,215,202
110,215,264
111,22,350
112,22,85
113,22,312
114,22,206
115,22,7
116,22,281
117,22,151
118,22,61
119,22,204
120,22,225
121,22,14
122,22,49
123,22,337
124,160,132
125,160,46
126,160,338
127,160,346
128,160,107
129,160,146
130,160,4
131,160,270
132,160,205
133,160,115
134,160,334
135,160,111
136,160,267
137,160,71
138,160,253
139,160,112
140,160,252
141,160,227
142,160,133
143,160,5
144,160,51
145,160,164
146,160,245
147,96,206
148,96,92
149,96,275
150,96,110
151,96,152
152,96,176
153,96,136
154,182,188
155,182,11
156,182,64
157,266,134
158,266,309
159,266,35
160,266,128
161,266,155
162,266,305
163,266,125
164,266,290
165,266,328
166,317,259
167,317,216
168,317,283
169,317,326
170,317,228
171,317,294
172,317,26
173,317,135
174,317,179
175,317,120
176,317,88
177,317,67
178,234,294
179,234,256
180,234,104
181,306,30
182,306,343
183,306,224
184,306,280
185,306,28
186,335,221
187,335,354
188,335,62
189,335,58
190,335,311
191,335,31
192,335,154
193,335,233
194,304,215
195,304,207
196,304,333
197,304,222
198,304,208
199,304,126
200,304,2
201,304,361
202,304,90
203,304,73
204,304,108
205,304,198
206,304,352
207,304,272
208,304,18
209,304,356
210,304,355
211,304,209
212,304,303
213,304,12
214,304,109
215,304,41
216,304,81
217,304,329
218,304,211
219,304,345
220,304,114
221,304,254
222,304,287
223,304,40
224,304,19
225,304,95
226,304,57
227,304,15
228,304,163
229,304,99
230,304,175
231,304,279
232,304,213
233,304,34
234,304,240
235,304,282
236,304,363
237,304,64
238,304,202
239,304,264
240,184,132
241,184,75
242,184,82
243,184,59
244,184,130
245,184,316
246,184,235
247,184,127
248,184,33
249,184,303
250,184,11
251,184,150
252,184,212
253,184,297
254,184,300
255,184,260
256,184,357
257,184,53
258,80,73
259,80,263
260,80,295
261,80,98
262,75,132
263,75,184
264,75,82
265,75,59
266,75,130
267,75,316
268,75,235
269,75,127
270,75,33
271,75,303
272,75,11
273,75,150
274,75,212
275,75,297
276,75,300
277,75,260
278,75,357
279,75,53
280,207,215
281,207,304
282,207,333
283,207,222
284,207,208
285,207,126
286,207,2
287,207,361
288,207,90
289,207,73
290,207,108
