,Source,Target
0,109,15
1,109,103
2,109,102
3,109,9
4,109,62
5,109,92
6,109,42
7,83,36
8,83,101
9,83,77
10,83,72
11,83,39
12,83,38
13,83,65
14,83,47
15,94,81
16,94,88
17,94,23
18,94,111
19,26,67
20,26,32
21,26,30
22,26,115
23,26,34
24,26,95
25,17,79
26,17,46
27,17,76
28,17,31
29,17,18
30,67,26
31,67,32
32,67,30
33,67,115
34,67,34
35,67,95
36,43,28
37,43,97
38,19,66
39,19,37
40,19,96
41,19,105
42,19,11
43,19,7
44,19,107
45,19,70
46,19,61
47,19,71
48,98,87
49,98,23
50,98,56
51,98,111
52,78,37
53,78,64
54,78,24
55,78,54
56,78,1
57,78,29
58,50,16
59,50,59
60,50,1
61,75,113
62,75,10
63,75,20
64,75,100
65,75,112
66,32,26
67,32,67
68,32,30
69,32,115
70,32,34
71,32,95
72,93,82
73,15,109
74,15,85
75,15,68
76,15,53
77,15,8
78,15,103
79,15,102
80,15,9
81,15,62
82,15,92
83,15,84
84,15,1
85,15,33
86,15,42
87,15,49
88,36,83
89,36,101
90,36,77
91,36,72
92,36,39
93,36,38
94,36,65
95,36,47
96,66,19
97,66,37
98,66,96
99,66,105
100,66,11
101,66,7
102,66,107
103,66,70
104,66,61
105,66,71
106,81,94
107,81,88
108,81,23
109,81,111
110,25,89
111,25,69
112,25,27
113,25,35
114,25,99
115,25,22
116,25,3
117,25,5
118,25,104
119,85,15
120,85,68
121,85,53
122,85,8
123,85,84
124,85,1
125,85,33
126,85,49
127,68,15
128,68,85
129,68,53
130,68,8
131,68,84
132,68,1
133,68,33
134,68,49
135,30,26
136,30,67
137,30,32
138,30,115
139,30,34
140,30,95
141,63,91
142,63,110
143,63,105
144,63,55
145,89,25
146,89,69
147,89,27
148,89,35
149,89,99
150,89,22
151,89,3
152,89,5
153,89,104
154,53,15
155,53,85
156,53,68
157,53,8
158,53,84
159,53,1
160,53,33
161,53,49
162,37,19
163,37,78
164,37,66
165,37,64
166,37,96
167,37,24
168,37,54
169,37,105
170,37,11
171,37,1
172,37,7
173,37,29
174,37,107
175,37,70
176,37,61
177,37,71
178,87,98
179,87,23
180,87,56
181,87,111
182,16,50
183,16,59
184,16,1
185,4,73
186,4,14
187,8,15
188,8,85
189,8,68
190,8,53
191,8,84
192,8,1
193,8,33
194,8,49
195,91,63
196,91,110
197,91,105
198,91,55
199,114,2
200,114,12
201,114,80
202,114,45
203,114,41
204,114,57
205,114,48
206,69,25
207,69,89
208,69,27
209,69,35
210,69,99
211,69,22
212,69,3
213,69,5
214,69,104
215,103,109
216,103,15
217,103,102
218,103,9
219,103,62
220,103,92
221,103,42
222,79,17
223,79,46
224,79,76
225,79,31
226,64,78
227,64,37
228,64,24
229,64,54
230,64,1
231,64,29
232,21,13
233,21,52
234,21,58
235,44,86
236,44,6
237,27,25
238,27,89
239,27,69
240,27,35
241,27,99
242,27,22
243,27,3
244,27,5
245,27,104
246,46,17
247,46,79
248,46,76
249,46,31
